Image,Label
test_0,pill_bottle
test_1,scoreboard
test_10,computer_keyboard
test_100,flagpole
test_1000,lakeside
test_1001,jellyfish
test_1002,lakeside
test_1003,stopwatch
test_1004,pay-phone
test_1005,steel_arch_bridge
test_1006,turnstile
test_1007,scoreboard
test_1008,hourglass
test_1009,sports_car
test_101,turnstile
test_1010,spiny_lobster
test_1011,space_heater
test_1012,turnstile
test_1013,scoreboard
test_1014,cash_machine
test_1015,jellyfish
test_1016,albatross
test_1017,scoreboard
test_1018,dam
test_1019,umbrella
test_102,goose
test_1020,computer_keyboard
test_1021,cash_machine
test_1022,computer_keyboard
test_1023,bullet_train
test_1024,torch
test_1025,CD_player
test_1026,birdhouse
test_1027,brass
test_1028,space_heater
test_1029,sewing_machine
test_103,confectionery
test_1030,turnstile
test_1031,scoreboard
test_1032,brass
test_1033,turnstile
test_1034,moving_van
test_1035,lakeside
test_1036,CD_player
test_1037,turnstile
test_1038,oboe
test_1039,computer_keyboard
test_104,freight_car
test_1040,scoreboard
test_1041,turnstile
test_1042,scoreboard
test_1043,scoreboard
test_1044,moving_van
test_1045,beacon
test_1046,volleyball
test_1047,broom
test_1048,jellyfish
test_1049,CD_player
test_105,steel_arch_bridge
test_1050,pill_bottle
test_1051,CD_player
test_1052,cash_machine
test_1053,lawn_mower
test_1054,comic_book
test_1055,scoreboard
test_1056,stopwatch
test_1057,scoreboard
test_1058,CD_player
test_1059,parking_meter
test_106,bullet_train
test_1060,cash_machine
test_1061,poncho
test_1062,water_jug
test_1063,spider_web
test_1064,turnstile
test_1065,scoreboard
test_1066,turnstile
test_1067,confectionery
test_1068,kimono
test_1069,cardigan
test_107,computer_keyboard
test_1070,albatross
test_1071,turnstile
test_1072,barbershop
test_1073,brass
test_1074,binoculars
test_1075,space_heater
test_1076,cash_machine
test_1077,CD_player
test_1078,king_penguin
test_1079,CD_player
test_108,cash_machine
test_1080,thatch
test_1081,dugong
test_1082,brass
test_1083,flagpole
test_1084,birdhouse
test_1085,computer_keyboard
test_1086,-
test_1087,computer_keyboard
test_1088,backpack
test_1089,crane
test_109,moving_van
test_1090,spider_web
test_1091,scoreboard
test_1092,crane
test_1093,triumphal_arch
test_1094,CD_player
test_1095,ice_lolly
test_1096,cash_machine
test_1097,scoreboard
test_1098,scoreboard
test_1099,lifeboat
test_11,coral_reef
test_110,scoreboard
test_1100,seashore
test_1101,umbrella
test_1102,scoreboard
test_1103,sock
test_1104,space_heater
test_1105,steel_arch_bridge
test_1106,computer_keyboard
test_1107,scoreboard
test_1108,scoreboard
test_1109,scoreboard
test_111,abacus
test_1110,computer_keyboard
test_1111,CD_player
test_1112,brass
test_1113,space_heater
test_1114,brass
test_1115,CD_player
test_1116,sock
test_1117,confectionery
test_1118,scoreboard
test_1119,turnstile
test_112,gondola
test_1120,pop_bottle
test_1121,computer_keyboard
test_1122,umbrella
test_1123,drumstick
test_1124,freight_car
test_1125,steel_arch_bridge
test_1126,pill_bottle
test_1127,space_heater
test_1128,brass
test_1129,jellyfish
test_113,freight_car
test_1130,gondola
test_1131,CD_player
test_1132,albatross
test_1133,turnstile
test_1134,CD_player
test_1135,albatross
test_1136,steel_arch_bridge
test_1137,bullet_train
test_1138,brass
test_1139,turnstile
test_114,-
test_1140,refrigerator
test_1141,albatross
test_1142,scoreboard
test_1143,brass
test_1144,gondola
test_1145,flagpole
test_1146,brass
test_1147,beach_wagon
test_1148,water_jug
test_1149,cash_machine
test_115,scoreboard
test_1150,beacon
test_1151,scoreboard
test_1152,steel_arch_bridge
test_1153,scoreboard
test_1154,cash_machine
test_1155,butcher_shop
test_1156,cardigan
test_1157,poncho
test_1158,organ
test_1159,space_heater
test_116,space_heater
test_1160,beer_bottle
test_1161,brass
test_1162,brass
test_1163,computer_keyboard
test_1164,scoreboard
test_1165,scoreboard
test_1166,freight_car
test_1167,police_van
test_1168,sports_car
test_1169,abacus
test_117,walking_stick
test_1170,beach_wagon
test_1171,-
test_1172,brass
test_1173,brass
test_1174,abacus
test_1175,CD_player
test_1176,water_tower
test_1177,turnstile
test_1178,dam
test_1179,steel_arch_bridge
test_118,computer_keyboard
test_1180,scoreboard
test_1181,steel_arch_bridge
test_1182,cardigan
test_1183,turnstile
test_1184,backpack
test_1185,convertible
test_1186,birdhouse
test_1187,water_tower
test_1188,bee
test_1189,turnstile
test_119,scoreboard
test_1190,scoreboard
test_1191,kimono
test_1192,scoreboard
test_1193,spiny_lobster
test_1194,desk
test_1195,brass
test_1196,space_heater
test_1197,scoreboard
test_1198,bucket
test_1199,remote_control
test_12,scoreboard
test_120,computer_keyboard
test_1200,refrigerator
test_1201,water_tower
test_1202,organ
test_1203,umbrella
test_1204,pay-phone
test_1205,cash_machine
test_1206,beacon
test_1207,albatross
test_1208,-
test_1209,freight_car
test_121,turnstile
test_1210,scoreboard
test_1211,scoreboard
test_1212,turnstile
test_1213,turnstile
test_1214,alp
test_1215,cannon
test_1216,CD_player
test_1217,steel_arch_bridge
test_1218,space_heater
test_1219,jinrikisha
test_122,brain_coral
test_1220,sock
test_1221,computer_keyboard
test_1222,albatross
test_1223,pill_bottle
test_1224,scoreboard
test_1225,abacus
test_1226,scoreboard
test_1227,turnstile
test_1228,brass
test_1229,bullet_train
test_123,computer_keyboard
test_1230,bannister
test_1231,bucket
test_1232,brass
test_1233,-
